id,name,normalized_name,created_at,updated_at
1243,RENAISSANCE FAIR,renaissance fair,2016-09-29 15:28:47.21557,2016-09-29 15:28:47.21557
1244,Chief Wiggum's Bedroom,chief wiggum bedroom,2016-09-29 15:28:47.582389,2016-09-29 15:28:47.582389
1245,Pet Store,pet store,2016-09-29 15:28:47.621974,2016-09-29 15:28:47.621974
1246,DOG RACING TRACK LOBBY,dog racing track lobby,2016-09-29 15:28:47.735356,2016-09-29 15:28:47.735356
1247,Track,track,2016-09-29 15:28:47.758947,2016-09-29 15:28:47.758947
1248,Burns's Gate,burns gate,2016-09-29 15:28:48.933925,2016-09-29 15:28:48.933925
1249,Burns's Bathroom,burns bathroom,2016-09-29 15:28:48.97112,2016-09-29 15:28:48.97112
1250,Laundry Chute,laundry chute,2016-09-29 15:28:49.471897,2016-09-29 15:28:49.471897
1251,BASEMENT LAUNDRY ROOM,basement laundry room,2016-09-29 15:28:49.481142,2016-09-29 15:28:49.481142
1252,BATTLEFIELD ENTRANCE,battlefield entrance,2016-09-29 15:28:51.55758,2016-09-29 15:28:51.55758
1253,HISTORICAL SITE,historical site,2016-09-29 15:28:51.618627,2016-09-29 15:28:51.618627
1254,BATTLEFIELD RE-CREATION,battlefield re-creation,2016-09-29 15:28:51.694094,2016-09-29 15:28:51.694094
1255,Gym Class,gym class,2016-09-29 15:28:52.282042,2016-09-29 15:28:52.282042
1256,ELEGANT LIVING ROOM,elegant living room,2016-09-29 15:28:52.734356,2016-09-29 15:28:52.734356
1257,ANOTHER CLASSROOM,another classroom,2016-09-29 15:28:52.983734,2016-09-29 15:28:52.983734
1258,Hallway Outside Skinner's Office,hallway outside skinner office,2016-09-29 15:28:53.417332,2016-09-29 15:28:53.417332
1259,Springfield Elementary School Prison,springfield elementary school prison,2016-09-29 15:28:53.567269,2016-09-29 15:28:53.567269
1260,Nurses Office A Little Later,nurses office a little later,2016-09-29 15:28:53.979306,2016-09-29 15:28:53.979306
1261,French Classroom,french classroom,2016-09-29 15:28:54.024415,2016-09-29 15:28:54.024415
1262,Operating Room,operating room,2016-09-29 15:28:54.10181,2016-09-29 15:28:54.10181
1263,HOSPITAL ROOM A FEW HOURS LATER,hospital room a few hours later,2016-09-29 15:28:54.20336,2016-09-29 15:28:54.20336
1264,Hospital Hallway,hospital hallway,2016-09-29 15:28:54.323147,2016-09-29 15:28:54.323147
1265,Springfield Bridge,springfield bridge,2016-09-29 15:28:54.354746,2016-09-29 15:28:54.354746
1266,MURPHY'S HOSPITAL ROOM,murphy hospital room,2016-09-29 15:28:54.436505,2016-09-29 15:28:54.436505
1267,The Jazz Hole,the jazz hole,2016-09-29 15:28:54.497875,2016-09-29 15:28:54.497875
1268,STEVE ALLEN SHOW,steve allen show,2016-09-29 15:28:54.588281,2016-09-29 15:28:54.588281
1269,Swanky Department Store,swanky department store,2016-09-29 15:28:54.651271,2016-09-29 15:28:54.651271
1270,COSBY SHOW LIVING ROOM,cosby show living room,2016-09-29 15:28:54.728335,2016-09-29 15:28:54.728335
1271,Bleeding Gums Murphy's Hospital Room,bleeding gums murphy hospital room,2016-09-29 15:28:54.902069,2016-09-29 15:28:54.902069
1272,SPRINGFIELD CEMETERY DAY,springfield cemetery day,2016-09-29 15:28:55.334971,2016-09-29 15:28:55.334971
1273,Wjazz,wjazz,2016-09-29 15:28:55.576646,2016-09-29 15:28:55.576646
1274,Jebediah Springfield Park,jebediah springfield park,2016-09-29 15:28:56.140714,2016-09-29 15:28:56.140714
1275,Small Park (includes A Band Shell),small park,2016-09-29 15:28:56.149438,2016-09-29 15:28:56.149438
1276,GRASSY KNOLL,grassy knoll,2016-09-29 15:28:56.158028,2016-09-29 15:28:56.158028
1277,City Street,city street,2016-09-29 15:28:56.215126,2016-09-29 15:28:56.215126
1278,Springfield Police Academy,springfield police academy,2016-09-29 15:28:56.691623,2016-09-29 15:28:56.691623
1279,OBSTACLE COURSE,obstacle course,2016-09-29 15:28:56.727098,2016-09-29 15:28:56.727098
1280,SHOOTING RANGE,shooting range,2016-09-29 15:28:56.750567,2016-09-29 15:28:56.750567
1281,DRIVING COURSE,driving course,2016-09-29 15:28:56.765451,2016-09-29 15:28:56.765451
1282,SPRINGFIELD CITY STREET,springfield city street,2016-09-29 15:28:58.245188,2016-09-29 15:28:58.245188
1283,MINOR LEAGUE BASEBALL FIELD,minor league baseball field,2016-09-29 15:28:58.433445,2016-09-29 15:28:58.433445
1284,LEMON TREE AREA,lemon tree area,2016-09-29 15:28:58.848655,2016-09-29 15:28:58.848655
1285,BORDERLAND,borderland,2016-09-29 15:28:59.017012,2016-09-29 15:28:59.017012
1286,Shelbyville Street,shelbyville street,2016-09-29 15:28:59.031775,2016-09-29 15:28:59.031775
1287,Shelbyville Park,shelbyville park,2016-09-29 15:28:59.145625,2016-09-29 15:28:59.145625
1288,Shelbyville Hillside,shelbyville hillside,2016-09-29 15:28:59.319766,2016-09-29 15:28:59.319766
1289,FLANDERS R.V.,flanders rv,2016-09-29 15:28:59.460916,2016-09-29 15:28:59.460916
1290,Shelbyville Bluffs,shelbyville bluffs,2016-09-29 15:28:59.499074,2016-09-29 15:28:59.499074
1291,BIG CAT BUILDING,big cat building,2016-09-29 15:28:59.641329,2016-09-29 15:28:59.641329
1292,Hill,hill,2016-09-29 15:28:59.667747,2016-09-29 15:28:59.667747
1293,GRASSY HILL,grassy hill,2016-09-29 15:28:59.822743,2016-09-29 15:28:59.822743
1294,IMPOUND LOT,impound lot,2016-09-29 15:28:59.883641,2016-09-29 15:28:59.883641
1295,Shelbyville Hospital,shelbyville hospital,2016-09-29 15:28:59.980856,2016-09-29 15:28:59.980856
1296,R.V.,rv,2016-09-29 15:29:00.058818,2016-09-29 15:29:00.058818
1297,Springfield Elementary School Roof,springfield elementary school roof,2016-09-29 15:29:00.587026,2016-09-29 15:29:00.587026
1298,Burns Oil Site,burns oil site,2016-09-29 15:29:01.527514,2016-09-29 15:29:01.527514
1299,TOWN HALL STEPS,town hall steps,2016-09-29 15:29:02.292896,2016-09-29 15:29:02.292896
1300,FRONT OF TOWN HALL,front of town hall,2016-09-29 15:29:02.383133,2016-09-29 15:29:02.383133
1301,Smithers's Apartment,smithers apartment,2016-09-29 15:29:02.637278,2016-09-29 15:29:02.637278
1302,NIGHTCLUB,nightclub,2016-09-29 15:29:03.491337,2016-09-29 15:29:03.491337
1303,PADDY WAGON,paddy wagon,2016-09-29 15:29:03.952861,2016-09-29 15:29:03.952861
1304,BACK OF COMIC BOOK STORE,back of comic book store,2016-09-29 15:29:04.779094,2016-09-29 15:29:04.779094
1305,SOME NERD'S HOUSE,some nerd house,2016-09-29 15:29:04.798736,2016-09-29 15:29:04.798736
1306,Hollywood Studio,hollywood studio,2016-09-29 15:29:04.806288,2016-09-29 15:29:04.806288
1307,Producer's Trailer,producer trailer,2016-09-29 15:29:05.640778,2016-09-29 15:29:05.640778
1308,MOVIE SET,movie set,2016-09-29 15:29:05.682336,2016-09-29 15:29:05.682336
1309,SHOOT LOCATION,shoot location,2016-09-29 15:29:05.88505,2016-09-29 15:29:05.88505
1310,Milhouse's Starwagon,milhouse starwagon,2016-09-29 15:29:05.981968,2016-09-29 15:29:05.981968
1311,EDITING TRAILER,editing trailer,2016-09-29 15:29:06.050896,2016-09-29 15:29:06.050896
1312,EDITING BAY,editing bay,2016-09-29 15:29:06.180142,2016-09-29 15:29:06.180142
1313,Slot Car Heaven,slot car heaven,2016-09-29 15:29:06.309528,2016-09-29 15:29:06.309528
1314,Abandoned Factory,abandoned factory,2016-09-29 15:29:06.335739,2016-09-29 15:29:06.335739
1315,HOLLYWOOD AND VINE,hollywood and vine,2016-09-29 15:29:06.603983,2016-09-29 15:29:06.603983
1316,SPRINGFIELD BENTLEY DEALER,springfield bentley dealer,2016-09-29 15:29:06.887282,2016-09-29 15:29:06.887282
1317,CHILD WELFARE BOARD,child welfare board,2016-09-29 15:29:07.245867,2016-09-29 15:29:07.245867
1318,Mingled Waters Health Spa,mingled waters health spa,2016-09-29 15:29:07.254573,2016-09-29 15:29:07.254573
1319,Swartzwelder County Courthouse,swartzwelder county courthouse,2016-09-29 15:29:07.797236,2016-09-29 15:29:07.797236
1320,Family Skills Class,family skills class,2016-09-29 15:29:08.050731,2016-09-29 15:29:08.050731
1321,Road Near Riverbank,road near riverbank,2016-09-29 15:29:08.943265,2016-09-29 15:29:08.943265
1322,ESTABLISHING,establishing,2016-09-29 15:29:09.211903,2016-09-29 15:29:09.211903
1323,SPRINGFIELD CENTRAL PARK,springfield central park,2016-09-29 15:29:10.128813,2016-09-29 15:29:10.128813
1324,Uncle Moe's Family Feedbag,uncle moe family feedbag,2016-09-29 15:29:10.195698,2016-09-29 15:29:10.195698
1325,181st Street,181st street,2016-09-29 15:29:10.768069,2016-09-29 15:29:10.768069
1326,Gramma Van Houten's Apartment,gramma van houten apartment,2016-09-29 15:29:10.981557,2016-09-29 15:29:10.981557
1327,Storytown Village,storytown village,2016-09-29 15:29:11.456817,2016-09-29 15:29:11.456817
1328,THE THREE BEARS' HOUSE,the three bears house,2016-09-29 15:29:11.535308,2016-09-29 15:29:11.535308
1329,TRAIN RIDE,train ride,2016-09-29 15:29:11.581339,2016-09-29 15:29:11.581339
1330,PETTING ZOO,petting zoo,2016-09-29 15:29:11.610943,2016-09-29 15:29:11.610943
1331,SHEEP PEN,sheep pen,2016-09-29 15:29:11.64,2016-09-29 15:29:11.64
1332,Slaughterhouse Exit,slaughterhouse exit,2016-09-29 15:29:12.339063,2016-09-29 15:29:12.339063
1333,Kwik-E-Mart Roof,kwik-e-mart roof,2016-09-29 15:29:12.921581,2016-09-29 15:29:12.921581
1334,Lard Lad Donuts,lard lad donuts,2016-09-29 15:29:13.402149,2016-09-29 15:29:13.402149
1335,SPRINGFIELD STRIP,springfield strip,2016-09-29 15:29:13.452328,2016-09-29 15:29:13.452328
1336,ROOFTOP OF CHANNEL 6,rooftop of channel 6,2016-09-29 15:29:13.582117,2016-09-29 15:29:13.582117
1337,BIG AND TALL MEN'S SHOP,big and tall men shop,2016-09-29 15:29:13.634229,2016-09-29 15:29:13.634229
1338,Van Brunt & Churchill Ad Agency,van brunt churchill ad agency,2016-09-29 15:29:13.759876,2016-09-29 15:29:13.759876
1339,AD AGENCY,ad agency,2016-09-29 15:29:13.776284,2016-09-29 15:29:13.776284
1340,REMOTE HIGHWAY OUT OF TOWN,remote highway out of town,2016-09-29 15:29:13.923779,2016-09-29 15:29:13.923779
1341,VENTURA BOULEVARD,ventura boulevard,2016-09-29 15:29:15.363299,2016-09-29 15:29:15.363299
1342,Dr. Nick Rivera's Office,dr nick rivera office,2016-09-29 15:29:15.872562,2016-09-29 15:29:15.872562
1343,Dr. Nick Rivera's Outer Office,dr nick rivera outer office,2016-09-29 15:29:15.969689,2016-09-29 15:29:15.969689
1344,VAST WAISTBAND,vast waistband,2016-09-29 15:29:16.314195,2016-09-29 15:29:16.314195
1345,REMOTE IDYLLIC CORN FIELD,remote idyllic corn field,2016-09-29 15:29:16.461795,2016-09-29 15:29:16.461795
1346,LITTER-STREWN HIGHWAY,litter-strewn highway,2016-09-29 15:29:17.526703,2016-09-29 15:29:17.526703
1347,SPRINGFIELD HIGHWAY,springfield highway,2016-09-29 15:29:17.53369,2016-09-29 15:29:17.53369
1348,TOP OF SPRINGFIELD FALLS,top of springfield falls,2016-09-29 15:29:17.664413,2016-09-29 15:29:17.664413
1349,Springfield Cemetery,springfield cemetery,2016-09-29 15:29:18.127869,2016-09-29 15:29:18.127869
1350,HOMER'S BOYHOOD HOME,homer boyhood home,2016-09-29 15:29:18.71344,2016-09-29 15:29:18.71344
1351,Germ Warfare Lab,germ warfare lab,2016-09-29 15:29:18.771757,2016-09-29 15:29:18.771757
1352,Springfield Post Office,springfield post office,2016-09-29 15:29:18.990647,2016-09-29 15:29:18.990647
1353,Springfield Airport Cab Stand,springfield airport cab stand,2016-09-29 15:29:19.296099,2016-09-29 15:29:19.296099
1354,Patty and Selma's Living Room,patty and selma living room,2016-09-29 15:29:19.385885,2016-09-29 15:29:19.385885
1355,ISOLATED STRETCH OF HIGHWAY,isolated stretch of highway,2016-09-29 15:29:19.5613,2016-09-29 15:29:19.5613
1356,ISOLATED HIGHWAY,isolated highway,2016-09-29 15:29:19.608831,2016-09-29 15:29:19.608831
1357,Springwood Minimum Security Prison,springwood minimum security prison,2016-09-29 15:29:19.872885,2016-09-29 15:29:19.872885
1358,Air Force Base,air force base,2016-09-29 15:29:19.954262,2016-09-29 15:29:19.954262
1359,Duff Blimp Exhibit,duff blimp exhibit,2016-09-29 15:29:20.211378,2016-09-29 15:29:20.211378
1360,F-15 FIGHTER DISPLAY,f-15 fighter display,2016-09-29 15:29:20.235599,2016-09-29 15:29:20.235599
1361,F-15 FIGHTER,f-15 fighter,2016-09-29 15:29:20.243499,2016-09-29 15:29:20.243499
1362,COLONEL'S WASHROOM,colonel washroom,2016-09-29 15:29:20.303051,2016-09-29 15:29:20.303051
1363,AIR SHOW,air show,2016-09-29 15:29:20.415903,2016-09-29 15:29:20.415903
1364,Channel Ocho,channel ocho,2016-09-29 15:29:20.781159,2016-09-29 15:29:20.781159
1365,Duff Blimp,duff blimp,2016-09-29 15:29:20.915609,2016-09-29 15:29:20.915609
1366,CIVIL DEFENSE SHACK,civil defense shack,2016-09-29 15:29:21.012128,2016-09-29 15:29:21.012128
1367,HARRIER JET,harrier jet,2016-09-29 15:29:21.170362,2016-09-29 15:29:21.170362
1368,WRIGHT BROS. PLANE,wright bros plane,2016-09-29 15:29:21.249573,2016-09-29 15:29:21.249573
1369,FIGHTER JET,fighter jet,2016-09-29 15:29:21.280762,2016-09-29 15:29:21.280762
1370,SPRINGFIELD BADLANDS,springfield badlands,2016-09-29 15:29:21.36006,2016-09-29 15:29:21.36006
1371,Springfield Civic Auditorium,springfield civic auditorium,2016-09-29 15:29:21.645717,2016-09-29 15:29:21.645717
1372,MATT GROENING'S OFFICE,matt groening office,2016-09-29 15:29:22.546607,2016-09-29 15:29:22.546607
1373,INDIAN PALACE,indian palace,2016-09-29 15:29:22.99611,2016-09-29 15:29:22.99611
1374,Try-N-Save,try-n-save,2016-09-29 15:29:23.811689,2016-09-29 15:29:23.811689
1375,Burns's Outer Office,burns outer office,2016-09-29 17:03:39.700004,2016-09-29 17:03:39.700004
1376,BUSH HOUSE,bush house,2016-09-29 17:03:43.915932,2016-09-29 17:03:43.915932
1377,BUSH PORCH,bush porch,2016-09-29 17:03:45.4301,2016-09-29 17:03:45.4301
1378,ELKS LODGE,elks lodge,2016-09-29 17:03:45.512405,2016-09-29 17:03:45.512405
1379,STORM DRAIN,storm drain,2016-09-29 17:03:45.71793,2016-09-29 17:03:45.71793
1380,SEWER DRAIN,sewer drain,2016-09-29 17:03:45.84713,2016-09-29 17:03:45.84713
1381,Ogdenville Outlet Mall,ogdenville outlet mall,2016-09-29 17:03:47.217734,2016-09-29 17:03:47.217734
1382,ELECTRONICS OUTLET,electronics outlet,2016-09-29 17:03:47.233304,2016-09-29 17:03:47.233304
1383,Appliance Zone,appliance zone,2016-09-29 17:03:47.248604,2016-09-29 17:03:47.248604
1384,FASHION MART,fashion mart,2016-09-29 17:03:47.323773,2016-09-29 17:03:47.323773
1385,Springfield Opera House,springfield opera house,2016-09-29 17:03:47.673107,2016-09-29 17:03:47.673107
1386,Springfield Glen Country Club,springfield glen country club,2016-09-29 17:03:47.984834,2016-09-29 17:03:47.984834
1387,Golf Course,golf course,2016-09-29 17:03:49.144619,2016-09-29 17:03:49.144619
1388,REMOTE HIGHWAY,remote highway,2016-09-29 17:03:49.168407,2016-09-29 17:03:49.168407
1389,LAW FIRM,law firm,2016-09-29 17:03:49.901877,2016-09-29 17:03:49.901877
1390,Haunted House,haunted house,2016-09-29 17:03:49.96724,2016-09-29 17:03:49.96724
1391,DOWNTOWN,downtown,2016-09-29 17:03:50.052412,2016-09-29 17:03:50.052412
1392,IRS Plaza,irs plaza,2016-09-29 17:03:50.434029,2016-09-29 17:03:50.434029
1393,IRS Building,irs building,2016-09-29 17:03:50.441325,2016-09-29 17:03:50.441325
1394,Krusty's Street,krusty street,2016-09-29 17:03:50.601444,2016-09-29 17:03:50.601444
1395,Krusty's Mansion,krusty mansion,2016-09-29 17:03:50.618474,2016-09-29 17:03:50.618474
1396,Base Of Mountain,base of mountain,2016-09-29 17:03:50.991033,2016-09-29 17:03:50.991033
1397,SPRINGFIELD SHORES,springfield shores,2016-09-29 17:03:51.25817,2016-09-29 17:03:51.25817
1398,SPRINGFIELD MARINA - BAIT & TACKLE SHOP,springfield marina - bait tackle shop,2016-09-29 17:03:51.318193,2016-09-29 17:03:51.318193
1399,BAIT & TACKLE SHOP,bait tackle shop,2016-09-29 17:03:51.327957,2016-09-29 17:03:51.327957
1400,SPRINGFIELD MARINA - SLIP 8,springfield marina - slip 8,2016-09-29 17:03:51.418885,2016-09-29 17:03:51.418885
1401,BEACH - A WHILE LATER,beach - a while later,2016-09-29 17:03:51.701643,2016-09-29 17:03:51.701643
1402,Springfield Historical Society,springfield historical society,2016-09-29 17:03:52.107491,2016-09-29 17:03:52.107491
1403,HISTORICAL SOCIETY,historical society,2016-09-29 17:03:52.116862,2016-09-29 17:03:52.116862
1404,Copy Jalopy,copy jalopy,2016-09-29 17:03:52.842427,2016-09-29 17:03:52.842427
1405,Graveyard,graveyard,2016-09-29 17:03:53.170911,2016-09-29 17:03:53.170911
1406,SPRINGFIELD DRAGSTRIP,springfield dragstrip,2016-09-29 17:03:54.270455,2016-09-29 17:03:54.270455
1407,Burns's Limo,burns limo,2016-09-29 17:03:54.54088,2016-09-29 17:03:54.54088
1408,Tropical Beach,tropical beach,2016-09-29 17:03:55.335943,2016-09-29 17:03:55.335943
1409,TROPICAL NIGHT CLUB,tropical night club,2016-09-29 17:03:55.537564,2016-09-29 17:03:55.537564
1410,BUSINESS DISTRICT,business district,2016-09-29 17:03:56.105467,2016-09-29 17:03:56.105467
1411,Channel 6 Commentator's Booth,channel 6 commentator booth,2016-09-29 17:03:57.079696,2016-09-29 17:03:57.079696
1412,BUMTOWN SECTION,bumtown section,2016-09-29 17:03:57.160605,2016-09-29 17:03:57.160605
1413,AN EVEN WORSE LOOKING PART OF BUMTOWN,an even worse looking part of bumtown,2016-09-29 17:03:57.18133,2016-09-29 17:03:57.18133
1414,Seedy Hotel,seedy hotel,2016-09-29 17:03:58.298429,2016-09-29 17:03:58.298429
1415,CHESTER'S HOUSE,chester house,2016-09-29 17:03:58.342942,2016-09-29 17:03:58.342942
1416,SPRINGFIELD DMV,springfield dmv,2016-09-29 17:03:58.982871,2016-09-29 17:03:58.982871
1417,'30'S-STYLE SHOW-BUSINESS RESTAURANT,30-style show-business restaurant,2016-09-29 17:03:59.178791,2016-09-29 17:03:59.178791
2173,JAIL CELL,jail cell,2016-09-29 20:24:16.512391,2016-09-29 20:24:16.512391
1418,The Pimento Grove,the pimento grove,2016-09-29 17:03:59.186691,2016-09-29 17:03:59.186691
1419,TROY'S HOUSE,troy house,2016-09-29 17:03:59.31872,2016-09-29 17:03:59.31872
1420,TRENDY RESTAURANT,trendy restaurant,2016-09-29 17:03:59.418515,2016-09-29 17:03:59.418515
1421,Route 18 Flea-Market and Drive-In,route 18 flea-market and drive-in,2016-09-29 17:03:59.579263,2016-09-29 17:03:59.579263
1422,CAPITOL CITY,capitol city,2016-09-29 17:03:59.816777,2016-09-29 17:03:59.816777
1423,Springfield Botanical Gardens,springfield botanical gardens,2016-09-29 17:04:00.183943,2016-09-29 17:04:00.183943
1424,Botanical Gardens,botanical gardens,2016-09-29 17:04:00.230133,2016-09-29 17:04:00.230133
1425,DELOREAN,delorean,2016-09-29 17:04:00.2398,2016-09-29 17:04:00.2398
1426,Insinutainment Tonight Studios,insinutainment tonight studios,2016-09-29 17:04:00.540222,2016-09-29 17:04:00.540222
1427,TROY'S LIVING ROOM,troy living room,2016-09-29 17:04:00.552918,2016-09-29 17:04:00.552918
1428,Troy's Bedroom,troy bedroom,2016-09-29 17:04:00.672694,2016-09-29 17:04:00.672694
1429,Cracker Factory,cracker factory,2016-09-29 17:04:01.431141,2016-09-29 17:04:01.431141
1430,SALTING ROOM,salting room,2016-09-29 17:04:01.490606,2016-09-29 17:04:01.490606
1431,Springfield Commodities Exchange,springfield commodities exchange,2016-09-29 17:04:01.6797,2016-09-29 17:04:01.6797
1432,Springfield Art-house Theater,springfield art-house theater,2016-09-29 17:04:02.079658,2016-09-29 17:04:02.079658
1433,STREET OUTSIDE MOE'S,street outside moe,2016-09-29 17:04:02.194065,2016-09-29 17:04:02.194065
1434,Bart's Car,bart car,2016-09-29 17:04:02.34008,2016-09-29 17:04:02.34008
1435,MARTIN'S HOUSE,martin house,2016-09-29 17:04:02.376647,2016-09-29 17:04:02.376647
1436,NELSON'S HOUSE,nelson house,2016-09-29 17:04:02.398696,2016-09-29 17:04:02.398696
1437,HIGHWAY OUT OF SPRINGFIELD,highway out of springfield,2016-09-29 17:04:02.470253,2016-09-29 17:04:02.470253
1438,SITE OF THE WORLD'S FAIR,site of the world fair,2016-09-29 17:04:03.75302,2016-09-29 17:04:03.75302
1439,DOWNTOWN KNOXVILLE,downtown knoxville,2016-09-29 17:04:03.854558,2016-09-29 17:04:03.854558
1440,DOWNTOWN KNOXVILLE STREET,downtown knoxville street,2016-09-29 17:04:04.248477,2016-09-29 17:04:04.248477
1441,Knoxville Bonded Courier Service,knoxville bonded courier service,2016-09-29 17:04:04.261073,2016-09-29 17:04:04.261073
1442,Hong Kong International Airport,hong kong international airport,2016-09-29 17:04:04.279653,2016-09-29 17:04:04.279653
1443,Cargo Plane,cargo plane,2016-09-29 17:04:04.549972,2016-09-29 17:04:04.549972
1444,BUSY HIGHWAY,busy highway,2016-09-29 17:04:04.779072,2016-09-29 17:04:04.779072
1445,SANJAYS'S HOUSE,sanjays house,2016-09-29 17:04:04.885585,2016-09-29 17:04:04.885585
1446,Bumblebee Man's House,bumblebee man house,2016-09-29 17:04:07.085586,2016-09-29 17:04:07.085586
1447,JAILBIRD'S CAR,jailbird car,2016-09-29 17:04:07.19484,2016-09-29 17:04:07.19484
1448,SEWER PIPE,sewer pipe,2016-09-29 17:04:07.25614,2016-09-29 17:04:07.25614
1449,CHILDREN'S BARBER SHOP,children barber shop,2016-09-29 17:04:07.726148,2016-09-29 17:04:07.726148
1450,SNIPPY LONGSTOCKING'S,snippy longstocking,2016-09-29 17:04:07.733766,2016-09-29 17:04:07.733766
1451,GRAVESITE,gravesite,2016-09-29 17:04:08.399123,2016-09-29 17:04:08.399123
1452,CEMETERY GATE,cemetery gate,2016-09-29 17:04:08.417842,2016-09-29 17:04:08.417842
1453,Caracas,caracas,2016-09-29 17:04:08.540851,2016-09-29 17:04:08.540851
1454,Villa,villa,2016-09-29 17:04:08.591792,2016-09-29 17:04:08.591792
1455,Abandoned German Castle,abandoned german castle,2016-09-29 17:04:10.315113,2016-09-29 17:04:10.315113
1456,MAYOR QUIMBY'S OFFICE,mayor quimby office,2016-09-29 17:04:12.302941,2016-09-29 17:04:12.302941
1457,QUIMBY'S WAITING ROOM,quimby waiting room,2016-09-29 17:04:12.816822,2016-09-29 17:04:12.816822
1458,QUIMBY'S OFFICE,quimby office,2016-09-29 17:04:12.859828,2016-09-29 17:04:12.859828
1459,QUIMBY'S OUTER OFFICE,quimby outer office,2016-09-29 17:04:12.937535,2016-09-29 17:04:12.937535
1460,GREAT GRAMPA SIMPSONS' HOME,great grampa simpsons home,2016-09-29 17:04:13.193516,2016-09-29 17:04:13.193516
1461,NEW YORK HARBOR,new york harbor,2016-09-29 17:04:13.236616,2016-09-29 17:04:13.236616
1462,Calcutta Technical Institute,calcutta technical institute,2016-09-29 17:04:13.523158,2016-09-29 17:04:13.523158
1463,Springfield Heights Institute of Technology,springfield heights institute of technology,2016-09-29 17:04:13.657499,2016-09-29 17:04:13.657499
1464,Computer Lab,computer lab,2016-09-29 17:04:13.698705,2016-09-29 17:04:13.698705
1465,DARK ALLEY,dark alley,2016-09-29 17:04:14.023773,2016-09-29 17:04:14.023773
1466,IMMIGRATION SERVICE,immigration service,2016-09-29 17:04:14.938975,2016-09-29 17:04:14.938975
1467,Suicide Notes,suicide notes,2016-09-29 17:04:16.234904,2016-09-29 17:04:16.234904
1468,CLEARING IN THE WOODS,clearing in the woods,2016-09-29 17:04:16.398312,2016-09-29 17:04:16.398312
1469,Hullabaloooza,hullabaloooza,2016-09-29 17:04:16.83032,2016-09-29 17:04:16.83032
1470,Hullabaloooza Fairgrounds,hullabaloooza fairgrounds,2016-09-29 17:04:17.143731,2016-09-29 17:04:17.143731
1471,Hullabaloooza Stage,hullabaloooza stage,2016-09-29 17:04:17.479615,2016-09-29 17:04:17.479615
1472,Veterinarian's Office,veterinarian office,2016-09-29 17:04:17.656376,2016-09-29 17:04:17.656376
1473,Beach House,beach house,2016-09-29 17:04:19.020012,2016-09-29 17:04:19.020012
1474,STRIP MALL,strip mall,2016-09-29 17:04:19.183025,2016-09-29 17:04:19.183025
1475,Teejay's Zaymart,teejay zaymart,2016-09-29 17:04:19.19064,2016-09-29 17:04:19.19064
1476,Downtown Pwagmattasquarmsettport,downtown pwagmattasquarmsettport,2016-09-29 17:04:19.281939,2016-09-29 17:04:19.281939
1477,BEACH BOARDWALK,beach boardwalk,2016-09-29 17:04:19.335356,2016-09-29 17:04:19.335356
1478,UNDER THE BOARDWALK,under the boardwalk,2016-09-29 17:04:19.376301,2016-09-29 17:04:19.376301
1479,FAR SIDE OF PARKING LOT,far side of parking lot,2016-09-29 17:04:19.572003,2016-09-29 17:04:19.572003
1480,BEACH IN FRONT OF THE HOUSE,beach in front of the house,2016-09-29 17:04:19.722966,2016-09-29 17:04:19.722966
1481,Convenience Store,convenience store,2016-09-29 17:04:19.787448,2016-09-29 17:04:19.787448
1482,KIDS' BEACH PARTY,kids beach party,2016-09-29 17:04:20.025017,2016-09-29 17:04:20.025017
1483,Outskirts Of Carnival,outskirts of carnival,2016-09-29 17:04:20.263241,2016-09-29 17:04:20.263241
1484,MARGARINE TUB,margarine tub,2016-09-29 17:04:21.394975,2016-09-29 17:04:21.394975
1485,Springfield Pond,springfield pond,2016-09-29 17:04:21.614947,2016-09-29 17:04:21.614947
1486,SAUCER,saucer,2016-09-29 17:04:21.643377,2016-09-29 17:04:21.643377
1487,WASHINGTON D.C. - REPUBLICAN NATIONAL COMMITTEE,washington dc - republican national committee,2016-09-29 17:04:21.722668,2016-09-29 17:04:21.722668
1488,WASHINGTON D.C. - WHITE HOUSE,washington dc - white house,2016-09-29 17:04:21.753876,2016-09-29 17:04:21.753876
1489,Dole Campaign Stop,dole campaign stop,2016-09-29 17:04:21.895538,2016-09-29 17:04:21.895538
1490,SPRINGFIELD AUDITORIUM,springfield auditorium,2016-09-29 17:04:21.987653,2016-09-29 17:04:21.987653
1491,WASHINGTON D.C. - U.S. CAPITOL,washington dc - us capitol,2016-09-29 17:04:22.137268,2016-09-29 17:04:22.137268
1492,SMITHERS' HOUSE,smithers house,2016-09-29 17:04:22.379314,2016-09-29 17:04:22.379314
1493,MODEL HOME,model home,2016-09-29 17:04:22.583966,2016-09-29 17:04:22.583966
1494,Cypress Creek,cypress creek,2016-09-29 17:04:22.964889,2016-09-29 17:04:22.964889
1495,NEW SIMPSON HOUSE,new simpson house,2016-09-29 17:04:22.985777,2016-09-29 17:04:22.985777
1496,Globex Corporation,globex corporation,2016-09-29 17:04:23.113827,2016-09-29 17:04:23.113827
1497,GLOBEX,globex,2016-09-29 17:04:23.166841,2016-09-29 17:04:23.166841
1498,Cypress Creek Elementary School,cypress creek elementary school,2016-09-29 17:04:23.325581,2016-09-29 17:04:23.325581
