Source	Target	Weight	Type
171	183	1	Undirected
84	487	1	Undirected
112	382	1	Undirected
334	358	1	Undirected
346	388	1	Undirected
101	118	1	Undirected
300	327	2	Undirected
75	118	1	Undirected
108	318	2	Undirected
102	302	1	Undirected
115	343	1	Undirected
157	251	1	Undirected
206	211	1	Undirected
75	471	1	Undirected
120	137	1	Undirected
3	12	2	Undirected
84	501	1	Undirected
26	291	1	Undirected
52	286	2	Undirected
141	482	1	Undirected
467	483	1	Undirected
327	462	1	Undirected
22	37	2	Undirected
47	112	4	Undirected
12	21	1	Undirected
25	235	1	Undirected
388	487	1	Undirected
59	335	1	Undirected
127	221	1	Undirected
28	508	1	Undirected
92	104	1	Undirected
60	453	1	Undirected
99	125	1	Undirected
74	179	1	Undirected
12	104	1	Undirected
67	499	1	Undirected
235	564	1	Undirected
19	327	5	Undirected
195	213	1	Undirected
132	160	1	Undirected
86	94	3	Undirected
289	468	1	Undirected
174	192	1	Undirected
336	338	1	Undirected
341	344	1	Undirected
114	350	2	Undirected
82	453	1	Undirected
291	587	1	Undirected
70	416	1	Undirected
100	167	1	Undirected
91	258	1	Undirected
401	412	1	Undirected
45	424	1	Undirected
65	537	1	Undirected
68	144	2	Undirected
108	432	1	Undirected
42	240	1	Undirected
115	338	1	Undirected
46	460	2	Undirected
36	144	2	Undirected
46	151	4	Undirected
38	116	2	Undirected
60	388	2	Undirected
47	457	1	Undirected
127	187	1	Undirected
65	518	1	Undirected
36	489	1	Undirected
65	241	1	Undirected
12	183	2	Undirected
32	432	1	Undirected
102	136	2	Undirected
337	353	1	Undirected
75	377	1	Undirected
88	441	1	Undirected
70	467	1	Undirected
23	421	1	Undirected
105	124	1	Undirected
79	272	1	Undirected
21	35	1	Undirected
108	200	1	Undirected
64	457	1	Undirected
122	275	1	Undirected
35	54	1	Undirected
15	64	2	Undirected
11	15	2	Undirected
106	206	1	Undirected
94	242	1	Undirected
167	324	1	Undirected
139	379	1	Undirected
17	78	1	Undirected
65	178	1	Undirected
162	407	1	Undirected
313	321	1	Undirected
77	106	7	Undirected
214	319	1	Undirected
143	592	1	Undirected
36	55	4	Undirected
263	286	1	Undirected
84	167	6	Undirected
75	346	1	Undirected
90	172	1	Undirected
67	228	1	Undirected
76	125	3	Undirected
459	473	1	Undirected
67	184	1	Undirected
14	378	1	Undirected
49	316	4	Undirected
5	470	1	Undirected
89	453	1	Undirected
36	449	1	Undirected
92	93	13	Undirected
67	481	1	Undirected
70	537	1	Undirected
36	79	14	Undirected
65	275	1	Undirected
22	24	1	Undirected
220	223	1	Undirected
157	438	1	Undirected
470	479	1	Undirected
379	522	1	Undirected
234	355	1	Undirected
64	229	1	Undirected
12	280	1	Undirected
327	450	1	Undirected
93	282	1	Undirected
88	128	2	Undirected
388	440	1	Undirected
77	461	1	Undirected
60	124	1	Undirected
76	449	1	Undirected
137	164	1	Undirected
86	388	3	Undirected
252	304	1	Undirected
159	214	3	Undirected
65	305	1	Undirected
20	231	1	Undirected
113	572	1	Undirected
32	261	1	Undirected
63	218	2	Undirected
233	269	1	Undirected
59	60	4	Undirected
145	434	1	Undirected
30	575	1	Undirected
65	412	1	Undirected
135	275	1	Undirected
479	587	1	Undirected
318	517	1	Undirected
336	350	1	Undirected
204	573	1	Undirected
65	96	16	Undirected
91	253	1	Undirected
162	300	3	Undirected
127	348	1	Undirected
32	228	1	Undirected
304	323	1	Undirected
66	460	1	Undirected
123	462	2	Undirected
165	171	1	Undirected
81	97	3	Undirected
124	388	2	Undirected
63	250	1	Undirected
88	284	2	Undirected
33	329	1	Undirected
108	144	3	Undirected
139	476	1	Undirected
48	263	2	Undirected
68	509	1	Undirected
45	71	1	Undirected
20	419	1	Undirected
59	195	1	Undirected
115	162	5	Undirected
159	538	1	Undirected
135	170	1	Undirected
37	44	1	Undirected
120	187	1	Undirected
52	316	4	Undirected
32	470	1	Undirected
181	536	1	Undirected
351	356	1	Undirected
211	212	1	Undirected
68	472	1	Undirected
300	555	1	Undirected
15	167	1	Undirected
89	431	1	Undirected
127	128	4	Undirected
117	545	1	Undirected
5	127	6	Undirected
60	98	1	Undirected
185	216	1	Undirected
6	70	1	Undirected
75	242	1	Undirected
160	330	2	Undirected
179	230	1	Undirected
127	522	1	Undirected
17	46	1	Undirected
90	218	5	Undirected
27	35	1	Undirected
235	465	1	Undirected
45	456	1	Undirected
79	150	3	Undirected
236	264	1	Undirected
52	139	3	Undirected
124	479	1	Undirected
304	519	1	Undirected
95	166	1	Undirected
46	273	1	Undirected
49	112	4	Undirected
117	289	2	Undirected
234	459	1	Undirected
124	226	1	Undirected
509	511	1	Undirected
63	463	1	Undirected
106	258	1	Undirected
45	505	1	Undirected
36	495	1	Undirected
48	479	1	Undirected
136	421	1	Undirected
96	268	1	Undirected
96	382	1	Undirected
230	256	1	Undirected
84	463	1	Undirected
66	81	1	Undirected
115	238	1	Undirected
123	139	4	Undirected
459	485	1	Undirected
12	388	4	Undirected
454	467	1	Undirected
379	507	1	Undirected
92	510	1	Undirected
14	533	1	Undirected
439	440	1	Undirected
97	146	1	Undirected
81	576	1	Undirected
123	236	1	Undirected
125	221	1	Undirected
242	264	1	Undirected
127	213	1	Undirected
204	361	1	Undirected
11	160	2	Undirected
113	273	1	Undirected
121	124	4	Undirected
89	338	1	Undirected
1	597	1	Undirected
70	271	1	Undirected
10	58	1	Undirected
486	591	1	Undirected
166	206	1	Undirected
113	505	1	Undirected
102	289	2	Undirected
128	260	1	Undirected
23	514	1	Undirected
456	476	1	Undirected
78	88	3	Undirected
303	322	1	Undirected
20	433	1	Undirected
125	261	1	Undirected
48	121	2	Undirected
16	31	1	Undirected
175	202	1	Undirected
12	325	1	Undirected
115	126	6	Undirected
163	583	1	Undirected
12	576	1	Undirected
61	66	1	Undirected
45	463	1	Undirected
29	68	1	Undirected
171	512	1	Undirected
129	172	1	Undirected
160	172	1	Undirected
72	276	1	Undirected
119	222	2	Undirected
353	356	1	Undirected
335	363	1	Undirected
122	556	1	Undirected
75	257	1	Undirected
278	302	1	Undirected
18	39	1	Undirected
79	191	1	Undirected
15	34	3	Undirected
32	170	2	Undirected
336	345	1	Undirected
28	578	1	Undirected
18	453	1	Undirected
99	128	1	Undirected
91	92	6	Undirected
22	322	1	Undirected
446	477	1	Undirected
234	316	2	Undirected
59	490	1	Undirected
185	212	1	Undirected
67	362	1	Undirected
443	545	1	Undirected
52	302	1	Undirected
159	417	1	Undirected
44	60	1	Undirected
4	18	1	Undirected
17	44	1	Undirected
176	200	1	Undirected
77	361	1	Undirected
478	481	1	Undirected
5	283	1	Undirected
45	371	1	Undirected
44	49	1	Undirected
49	62	1	Undirected
32	415	1	Undirected
65	215	2	Undirected
59	596	1	Undirected
195	230	1	Undirected
70	133	3	Undirected
20	219	1	Undirected
96	378	1	Undirected
28	144	1	Undirected
14	549	1	Undirected
34	366	1	Undirected
262	271	1	Undirected
60	269	1	Undirected
46	360	1	Undirected
168	379	1	Undirected
157	235	3	Undirected
344	361	1	Undirected
63	259	1	Undirected
204	375	1	Undirected
14	51	1	Undirected
237	261	1	Undirected
379	589	1	Undirected
45	301	1	Undirected
486	508	1	Undirected
216	220	1	Undirected
202	231	1	Undirected
373	387	1	Undirected
47	555	1	Undirected
127	147	1	Undirected
252	316	1	Undirected
20	81	5	Undirected
465	494	1	Undirected
32	350	2	Undirected
57	167	1	Undirected
124	184	1	Undirected
108	402	1	Undirected
106	194	1	Undirected
181	399	1	Undirected
214	296	1	Undirected
99	119	1	Undirected
30	476	1	Undirected
114	162	5	Undirected
280	283	1	Undirected
582	585	1	Undirected
78	450	1	Undirected
59	597	1	Undirected
45	129	9	Undirected
36	579	1	Undirected
49	157	8	Undirected
263	453	1	Undirected
36	92	12	Undirected
14	443	3	Undirected
3	20	1	Undirected
70	318	3	Undirected
73	572	1	Undirected
12	147	1	Undirected
151	179	1	Undirected
102	454	1	Undirected
252	320	1	Undirected
115	236	1	Undirected
108	234	4	Undirected
64	484	1	Undirected
112	290	1	Undirected
263	293	1	Undirected
14	309	1	Undirected
33	358	1	Undirected
53	61	1	Undirected
285	293	1	Undirected
138	152	1	Undirected
12	356	1	Undirected
75	342	1	Undirected
133	460	1	Undirected
31	48	1	Undirected
14	17	1	Undirected
1	11	1	Undirected
379	441	1	Undirected
235	584	1	Undirected
119	281	1	Undirected
62	76	1	Undirected
14	176	1	Undirected
32	175	1	Undirected
446	483	1	Undirected
516	521	1	Undirected
358	360	1	Undirected
32	160	5	Undirected
46	221	1	Undirected
64	117	7	Undirected
142	145	1	Undirected
316	333	1	Undirected
129	323	1	Undirected
81	212	1	Undirected
128	534	1	Undirected
438	586	1	Undirected
93	560	1	Undirected
69	74	1	Undirected
119	420	1	Undirected
52	154	1	Undirected
235	312	1	Undirected
235	436	2	Undirected
446	457	1	Undirected
12	139	5	Undirected
166	246	2	Undirected
465	498	1	Undirected
122	464	1	Undirected
128	214	2	Undirected
63	119	4	Undirected
78	100	3	Undirected
140	439	1	Undirected
18	92	10	Undirected
327	480	1	Undirected
48	76	2	Undirected
234	370	1	Undirected
149	269	1	Undirected
76	268	1	Undirected
13	30	1	Undirected
237	257	1	Undirected
48	285	1	Undirected
19	364	1	Undirected
84	480	1	Undirected
19	263	4	Undirected
91	447	1	Undirected
12	105	1	Undirected
140	240	3	Undirected
49	137	1	Undirected
65	131	1	Undirected
483	485	1	Undirected
123	136	1	Undirected
458	475	1	Undirected
286	408	1	Undirected
140	243	1	Undirected
494	598	1	Undirected
127	261	1	Undirected
86	162	5	Undirected
37	57	3	Undirected
55	70	6	Undirected
86	250	1	Undirected
93	372	1	Undirected
486	583	1	Undirected
32	265	1	Undirected
70	157	8	Undirected
34	114	3	Undirected
126	318	1	Undirected
19	268	1	Undirected
87	530	1	Undirected
34	97	2	Undirected
68	138	1	Undirected
117	253	1	Undirected
12	169	1	Undirected
65	254	2	Undirected
240	552	1	Undirected
110	118	1	Undirected
129	422	1	Undirected
218	476	1	Undirected
143	262	1	Undirected
209	302	1	Undirected
376	382	1	Undirected
60	64	3	Undirected
90	410	1	Undirected
32	213	1	Undirected
52	422	1	Undirected
34	137	1	Undirected
65	497	1	Undirected
114	269	2	Undirected
49	546	1	Undirected
84	494	2	Undirected
36	339	1	Undirected
11	135	1	Undirected
34	423	1	Undirected
49	92	15	Undirected
159	425	1	Undirected
125	222	2	Undirected
151	366	1	Undirected
124	425	1	Undirected
159	401	1	Undirected
75	330	2	Undirected
91	581	1	Undirected
145	269	1	Undirected
424	428	1	Undirected
22	150	1	Undirected
30	444	1	Undirected
157	268	1	Undirected
156	169	1	Undirected
112	287	1	Undirected
106	164	1	Undirected
153	466	1	Undirected
47	553	1	Undirected
414	419	1	Undirected
12	415	1	Undirected
261	266	1	Undirected
128	341	1	Undirected
120	168	1	Undirected
42	48	1	Undirected
218	250	1	Undirected
14	153	2	Undirected
442	514	1	Undirected
261	267	1	Undirected
519	520	1	Undirected
140	156	1	Undirected
48	82	1	Undirected
45	235	3	Undirected
82	83	1	Undirected
100	170	1	Undirected
36	543	1	Undirected
234	454	1	Undirected
2	66	1	Undirected
108	276	1	Undirected
195	202	1	Undirected
179	549	1	Undirected
14	73	16	Undirected
381	557	1	Undirected
5	442	1	Undirected
37	594	1	Undirected
167	427	1	Undirected
75	358	1	Undirected
49	445	1	Undirected
34	250	1	Undirected
113	486	1	Undirected
81	552	2	Undirected
125	298	1	Undirected
84	591	1	Undirected
240	285	1	Undirected
520	524	1	Undirected
93	280	1	Undirected
168	486	1	Undirected
47	558	1	Undirected
124	263	3	Undirected
246	277	1	Undirected
214	572	1	Undirected
20	75	5	Undirected
160	448	1	Undirected
11	155	1	Undirected
113	482	1	Undirected
72	90	2	Undirected
68	346	1	Undirected
304	319	1	Undirected
25	31	1	Undirected
55	241	1	Undirected
92	371	1	Undirected
100	238	1	Undirected
151	510	1	Undirected
135	146	1	Undirected
47	364	1	Undirected
32	108	9	Undirected
47	548	1	Undirected
68	120	5	Undirected
12	546	1	Undirected
167	444	1	Undirected
65	443	3	Undirected
53	60	1	Undirected
14	403	1	Undirected
117	124	8	Undirected
93	541	1	Undirected
300	346	1	Undirected
451	464	1	Undirected
23	82	1	Undirected
36	348	1	Undirected
129	425	1	Undirected
106	150	1	Undirected
11	98	1	Undirected
14	359	1	Undirected
129	330	3	Undirected
113	404	1	Undirected
77	121	3	Undirected
47	554	1	Undirected
350	459	1	Undirected
5	301	1	Undirected
76	447	1	Undirected
49	386	1	Undirected
1	113	1	Undirected
135	138	1	Undirected
59	204	5	Undirected
22	305	1	Undirected
91	160	3	Undirected
388	483	1	Undirected
19	112	4	Undirected
119	280	1	Undirected
55	59	7	Undirected
64	554	1	Undirected
93	147	1	Undirected
89	481	1	Undirected
153	160	2	Undirected
65	286	2	Undirected
247	373	1	Undirected
183	247	1	Undirected
47	203	1	Undirected
59	196	1	Undirected
19	76	5	Undirected
92	538	1	Undirected
112	199	1	Undirected
222	442	1	Undirected
32	374	1	Undirected
59	328	1	Undirected
49	443	3	Undirected
32	346	2	Undirected
32	559	1	Undirected
76	475	1	Undirected
111	463	1	Undirected
102	343	1	Undirected
25	39	1	Undirected
59	451	2	Undirected
379	565	1	Undirected
68	340	1	Undirected
205	213	1	Undirected
44	78	1	Undirected
112	273	1	Undirected
259	269	1	Undirected
129	427	1	Undirected
12	420	1	Undirected
36	481	1	Undirected
5	191	1	Undirected
474	477	1	Undirected
64	211	1	Undirected
339	345	1	Undirected
261	270	1	Undirected
160	333	1	Undirected
34	168	1	Undirected
43	54	1	Undirected
20	479	1	Undirected
124	344	1	Undirected
19	212	1	Undirected
68	121	2	Undirected
106	176	1	Undirected
110	111	1	Undirected
19	319	1	Undirected
96	135	4	Undirected
529	530	1	Undirected
120	570	1	Undirected
68	162	9	Undirected
375	400	1	Undirected
212	217	1	Undirected
36	468	2	Undirected
92	357	1	Undirected
59	345	1	Undirected
33	56	1	Undirected
123	272	1	Undirected
47	266	1	Undirected
183	218	1	Undirected
84	295	1	Undirected
30	289	2	Undirected
82	446	1	Undirected
59	449	1	Undirected
569	571	1	Undirected
106	248	1	Undirected
111	279	1	Undirected
79	560	1	Undirected
157	304	1	Undirected
74	560	1	Undirected
128	352	1	Undirected
279	288	1	Undirected
108	316	4	Undirected
388	514	1	Undirected
77	478	1	Undirected
46	122	9	Undirected
303	323	1	Undirected
286	292	1	Undirected
115	346	1	Undirected
92	232	1	Undirected
75	140	8	Undirected
70	437	1	Undirected
120	126	4	Undirected
59	127	15	Undirected
113	453	1	Undirected
98	204	2	Undirected
32	258	1	Undirected
121	426	1	Undirected
379	386	1	Undirected
357	362	1	Undirected
92	121	3	Undirected
138	155	1	Undirected
157	379	4	Undirected
45	49	16	Undirected
65	404	1	Undirected
90	383	1	Undirected
316	364	1	Undirected
519	527	1	Undirected
91	339	1	Undirected
73	206	1	Undirected
100	245	1	Undirected
2	80	1	Undirected
289	460	1	Undirected
166	414	1	Undirected
445	457	1	Undirected
96	249	1	Undirected
181	357	1	Undirected
112	379	1	Undirected
97	132	1	Undirected
373	378	1	Undirected
96	281	1	Undirected
138	169	1	Undirected
68	488	1	Undirected
36	109	1	Undirected
191	204	1	Undirected
47	284	2	Undirected
171	234	1	Undirected
168	439	1	Undirected
129	570	1	Undirected
293	297	1	Undirected
123	247	2	Undirected
242	255	1	Undirected
26	140	6	Undirected
255	267	1	Undirected
337	347	1	Undirected
193	231	1	Undirected
96	115	7	Undirected
163	598	1	Undirected
4	25	1	Undirected
379	414	1	Undirected
5	468	1	Undirected
14	127	15	Undirected
27	70	1	Undirected
121	125	3	Undirected
167	473	1	Undirected
286	409	1	Undirected
19	321	1	Undirected
151	545	1	Undirected
436	519	1	Undirected
4	64	1	Undirected
20	55	2	Undirected
37	317	1	Undirected
260	295	1	Undirected
543	544	1	Undirected
47	583	1	Undirected
463	468	1	Undirected
159	458	1	Undirected
399	412	1	Undirected
65	70	18	Undirected
79	575	1	Undirected
227	232	1	Undirected
18	297	1	Undirected
143	177	1	Undirected
101	102	1	Undirected
14	119	9	Undirected
452	483	1	Undirected
179	228	1	Undirected
239	247	1	Undirected
5	196	1	Undirected
379	567	1	Undirected
181	338	1	Undirected
181	318	1	Undirected
64	305	1	Undirected
334	345	1	Undirected
153	459	1	Undirected
218	449	1	Undirected
157	158	1	Undirected
140	461	1	Undirected
260	318	1	Undirected
166	579	1	Undirected
8	79	1	Undirected
451	549	1	Undirected
224	226	1	Undirected
79	239	1	Undirected
135	329	1	Undirected
186	202	1	Undirected
34	157	4	Undirected
106	113	3	Undirected
48	443	1	Undirected
26	33	3	Undirected
112	145	1	Undirected
52	60	1	Undirected
544	550	1	Undirected
120	180	1	Undirected
171	543	1	Undirected
78	478	1	Undirected
68	357	1	Undirected
117	171	7	Undirected
162	528	1	Undirected
37	140	3	Undirected
73	95	2	Undirected
90	222	2	Undirected
209	291	1	Undirected
12	332	1	Undirected
88	492	1	Undirected
119	379	3	Undirected
45	514	2	Undirected
65	225	1	Undirected
73	211	1	Undirected
46	232	1	Undirected
32	488	1	Undirected
327	425	1	Undirected
32	486	1	Undirected
14	92	16	Undirected
323	329	1	Undirected
73	259	1	Undirected
30	222	1	Undirected
64	556	1	Undirected
15	247	2	Undirected
45	91	5	Undirected
106	209	1	Undirected
455	472	1	Undirected
30	160	4	Undirected
72	114	2	Undirected
79	326	1	Undirected
162	180	1	Undirected
45	323	1	Undirected
59	510	1	Undirected
48	220	1	Undirected
74	445	1	Undirected
121	167	1	Undirected
262	479	1	Undirected
28	355	1	Undirected
584	597	1	Undirected
55	380	1	Undirected
78	218	2	Undirected
122	177	1	Undirected
7	64	1	Undirected
23	161	1	Undirected
235	438	2	Undirected
233	264	1	Undirected
14	584	1	Undirected
57	145	2	Undirected
19	73	13	Undirected
46	265	1	Undirected
167	313	1	Undirected
26	403	1	Undirected
14	396	1	Undirected
141	457	1	Undirected
122	474	1	Undirected
128	240	2	Undirected
96	371	1	Undirected
68	300	6	Undirected
182	185	1	Undirected
102	321	1	Undirected
12	417	1	Undirected
354	361	1	Undirected
79	378	1	Undirected
8	14	1	Undirected
3	347	1	Undirected
162	448	1	Undirected
163	245	1	Undirected
49	72	4	Undirected
52	514	1	Undirected
95	363	1	Undirected
70	353	1	Undirected
13	65	1	Undirected
45	171	8	Undirected
167	289	1	Undirected
139	153	2	Undirected
200	224	1	Undirected
375	407	1	Undirected
182	195	1	Undirected
58	563	1	Undirected
59	380	1	Undirected
82	108	3	Undirected
263	292	1	Undirected
456	477	1	Undirected
161	459	1	Undirected
47	432	1	Undirected
30	522	1	Undirected
157	544	1	Undirected
92	271	1	Undirected
74	494	1	Undirected
468	470	1	Undirected
246	317	1	Undirected
114	344	1	Undirected
22	311	1	Undirected
184	219	1	Undirected
79	388	6	Undirected
106	574	1	Undirected
14	414	1	Undirected
106	229	1	Undirected
32	293	1	Undirected
126	172	1	Undirected
70	132	1	Undirected
209	213	1	Undirected
18	376	1	Undirected
30	45	10	Undirected
127	485	1	Undirected
203	217	1	Undirected
47	226	1	Undirected
219	226	1	Undirected
234	365	1	Undirected
89	143	4	Undirected
84	495	1	Undirected
64	420	1	Undirected
59	536	1	Undirected
143	308	1	Undirected
14	362	1	Undirected
204	230	1	Undirected
124	185	1	Undirected
59	252	3	Undirected
204	228	1	Undirected
538	540	1	Undirected
79	234	5	Undirected
245	255	1	Undirected
262	292	1	Undirected
166	348	1	Undirected
7	10	1	Undirected
45	390	1	Undirected
55	396	1	Undirected
64	85	1	Undirected
47	269	2	Undirected
281	290	1	Undirected
460	482	1	Undirected
66	123	1	Undirected
23	145	3	Undirected
91	347	1	Undirected
69	77	1	Undirected
59	251	3	Undirected
70	244	1	Undirected
74	481	1	Undirected
63	286	1	Undirected
36	74	8	Undirected
119	255	1	Undirected
77	280	1	Undirected
145	253	1	Undirected
149	471	1	Undirected
73	218	6	Undirected
106	283	1	Undirected
56	445	1	Undirected
49	100	5	Undirected
262	542	1	Undirected
398	405	1	Undirected
65	534	1	Undirected
159	370	1	Undirected
70	520	1	Undirected
60	564	1	Undirected
48	193	1	Undirected
222	491	1	Undirected
36	67	10	Undirected
36	47	14	Undirected
8	51	1	Undirected
26	230	1	Undirected
42	80	1	Undirected
55	452	1	Undirected
34	227	1	Undirected
72	155	1	Undirected
67	383	1	Undirected
84	485	1	Undirected
136	484	1	Undirected
88	103	1	Undirected
14	395	1	Undirected
19	335	1	Undirected
214	226	1	Undirected
240	545	1	Undirected
140	163	4	Undirected
214	232	1	Undirected
22	466	1	Undirected
72	471	1	Undirected
32	489	1	Undirected
113	150	1	Undirected
446	482	1	Undirected
88	282	1	Undirected
162	382	1	Undirected
97	99	1	Undirected
93	517	3	Undirected
45	70	15	Undirected
19	66	4	Undirected
289	449	1	Undirected
96	133	3	Undirected
139	163	1	Undirected
253	254	1	Undirected
532	533	1	Undirected
14	457	1	Undirected
512	518	1	Undirected
251	327	1	Undirected
72	123	2	Undirected
12	579	1	Undirected
157	274	1	Undirected
166	468	1	Undirected
91	350	2	Undirected
84	467	1	Undirected
179	211	1	Undirected
34	166	5	Undirected
11	170	1	Undirected
26	70	7	Undirected
127	249	1	Undirected
92	358	1	Undirected
81	147	1	Undirected
82	91	2	Undirected
97	162	3	Undirected
166	297	1	Undirected
44	48	1	Undirected
289	290	1	Undirected
143	179	1	Undirected
159	174	1	Undirected
20	581	1	Undirected
283	297	1	Undirected
68	287	1	Undirected
139	152	1	Undirected
233	246	1	Undirected
517	558	1	Undirected
583	593	1	Undirected
10	24	1	Undirected
92	247	5	Undirected
286	302	1	Undirected
199	229	1	Undirected
126	437	1	Undirected
48	175	1	Undirected
120	232	1	Undirected
23	292	1	Undirected
20	302	1	Undirected
81	484	1	Undirected
129	575	1	Undirected
139	462	2	Undirected
119	541	1	Undirected
38	333	1	Undirected
521	529	1	Undirected
94	236	1	Undirected
67	349	1	Undirected
235	437	1	Undirected
178	205	1	Undirected
7	25	1	Undirected
19	440	1	Undirected
124	152	1	Undirected
47	229	1	Undirected
36	338	1	Undirected
188	217	1	Undirected
96	301	1	Undirected
36	236	1	Undirected
140	295	1	Undirected
63	239	1	Undirected
36	465	2	Undirected
170	452	1	Undirected
159	222	1	Undirected
34	209	2	Undirected
123	455	1	Undirected
59	405	1	Undirected
269	485	1	Undirected
214	260	2	Undirected
57	98	2	Undirected
124	160	4	Undirected
335	340	1	Undirected
166	360	1	Undirected
78	442	1	Undirected
89	559	1	Undirected
6	8	1	Undirected
86	534	1	Undirected
12	14	19	Undirected
5	475	1	Undirected
59	287	1	Undirected
89	357	1	Undirected
398	411	1	Undirected
34	106	4	Undirected
148	166	1	Undirected
12	293	1	Undirected
64	136	3	Undirected
58	270	1	Undirected
316	339	1	Undirected
82	473	1	Undirected
143	326	1	Undirected
583	591	1	Undirected
96	420	1	Undirected
65	535	1	Undirected
214	468	1	Undirected
143	211	1	Undirected
19	77	14	Undirected
65	304	2	Undirected
337	350	1	Undirected
3	93	1	Undirected
218	556	1	Undirected
17	70	1	Undirected
19	409	1	Undirected
129	329	1	Undirected
47	406	1	Undirected
14	397	1	Undirected
67	492	1	Undirected
52	556	1	Undirected
94	163	1	Undirected
314	316	1	Undirected
75	95	2	Undirected
525	528	1	Undirected
108	403	1	Undirected
73	153	2	Undirected
64	316	4	Undirected
79	352	1	Undirected
135	218	1	Undirected
65	351	2	Undirected
49	63	6	Undirected
457	459	1	Undirected
129	466	1	Undirected
245	385	1	Undirected
317	322	1	Undirected
44	79	1	Undirected
117	360	1	Undirected
66	263	1	Undirected
79	372	1	Undirected
91	256	1	Undirected
3	24	1	Undirected
139	571	1	Undirected
89	588	1	Undirected
34	426	1	Undirected
36	104	1	Undirected
144	262	1	Undirected
166	211	1	Undirected
160	358	1	Undirected
23	79	11	Undirected
49	279	1	Undirected
214	224	1	Undirected
75	129	5	Undirected
284	487	1	Undirected
47	415	1	Undirected
49	289	2	Undirected
289	472	1	Undirected
45	450	1	Undirected
120	206	1	Undirected
96	351	1	Undirected
123	482	1	Undirected
455	469	1	Undirected
114	209	1	Undirected
16	37	1	Undirected
96	572	1	Undirected
178	219	1	Undirected
140	486	1	Undirected
28	356	1	Undirected
171	371	1	Undirected
199	210	1	Undirected
451	466	1	Undirected
207	211	1	Undirected
575	577	1	Undirected
149	479	1	Undirected
128	252	1	Undirected
11	418	1	Undirected
9	32	1	Undirected
119	338	1	Undirected
1	214	1	Undirected
183	191	1	Undirected
145	261	1	Undirected
91	140	5	Undirected
20	97	1	Undirected
19	478	1	Undirected
460	484	1	Undirected
123	240	2	Undirected
230	253	1	Undirected
46	287	1	Undirected
381	410	1	Undirected
246	287	1	Undirected
284	494	1	Undirected
100	143	2	Undirected
443	509	1	Undirected
318	433	1	Undirected
46	75	8	Undirected
71	75	1	Undirected
78	359	1	Undirected
140	375	2	Undirected
279	282	1	Undirected
108	591	1	Undirected
116	235	1	Undirected
140	506	1	Undirected
30	296	1	Undirected
5	121	2	Undirected
33	163	1	Undirected
75	381	2	Undirected
348	357	1	Undirected
67	547	1	Undirected
